Title,ID,Link,Description,Published At,Channel Title,Channel ID,Query Term,Caption
How To Get Your First Push Up - Beginner Calisthenics and Motivation - Lucy Lismore Fitness,9-DlYB4vO4U,https://www.youtube.com/watch?v=9-DlYB4vO4U,Push ups are one of the biggest goals for so many of us and also one of the principle exercises in calisthenics. In todays video we ...,2021-07-12T18:44:52Z,Lucy Lismore,UCRhNwnpu9OjqPx9acwzsfiQ,Learn push up,any
How To Unlock Your Push Up Strength (In 5 Minutes),Z88Rl5bpnmI,https://www.youtube.com/watch?v=Z88Rl5bpnmI,"If you want to improve your push up form – and do more push ups, this video is for you. We're going to show you how to (finally) ...",2021-07-11T15:12:45Z,Jeremy Ethier,UCERm5yFZ1SptUEU4wZ2vJvw,Learn push up,any
